name,lat,lon,grid
SVTL,     60.53,     29.78,     33.00
SYOG,    -69.01,     39.58,      3.00
TABL,     34.38,   -117.68,     25.00
TASH,     41.33,     69.30,     28.00
TEHN,     35.70,     51.33,     27.00
THTG,    -17.58,   -149.61,     12.00
THTI,    -17.58,   -149.61,     12.00
THU2,     76.54,    -68.83,     31.00
TIT2,     51.03,      6.43,     27.00
TLSE,     43.56,      1.48,     27.00
TLSG,     43.55,      1.49,     27.00
TONG,    -21.14,   -175.18,     12.00
TOPL,    -10.17,    -48.33,     14.00
TORP,     33.80,   -118.33,     25.00
TOW2,    -19.27,    147.06,     17.00
TRAK,     33.62,   -117.80,     25.00
TRO1,     69.66,     18.94,     33.00
TUBI,     40.79,     29.45,     27.00
TUVA,     -8.53,    179.20,     17.00
UCAL,     51.08,   -114.13,     25.00
UCLP,     34.07,   -118.44,     25.00
UCLU,     48.93,   -125.54,     24.00
UFPR,    -25.45,    -49.23,     14.00
ULAB,     47.87,    107.05,     28.00
UNB3,     45.95,    -66.64,     25.00
UNBD,     45.95,    -66.64,     25.00
UNBJ,     45.95,    -66.64,     25.00
UNBN,     45.95,    -66.64,     25.00
UNSA,    -24.73,    -65.41,     13.00
URAL,     56.84,     60.62,     28.00
URUM,     43.81,     87.60,     28.00
USN7,     38.92,    -77.07,     25.00
USN8,     38.92,    -77.07,     25.00
USN9,     38.92,    -77.07,     25.00
USP1,    -18.15,    178.45,     17.00
UTQI,     71.32,   -156.62,     30.00
UZHL,     48.63,     22.30,     27.00
VALD,     48.10,    -77.56,     25.00
VIS0,     57.65,     18.37,     27.00
VNDP,     34.56,   -120.62,     24.00
WAB2,     46.92,      7.46,     27.00
WARN,     54.17,     12.10,     27.00
WDC5,     38.92,    -77.07,     25.00
WDC6,     38.92,    -77.07,     25.00
WES2,     42.61,    -71.49,     25.00
WHC1,     33.98,   -118.03,     25.00
WHIT,     60.75,   -135.22,     30.00
WIDC,     33.94,   -116.39,     25.00
WILL,     52.24,   -122.17,     24.00
WLSN,     34.23,   -118.06,     25.00
WROC,     51.11,     17.06,     27.00
WSRT,     52.91,      6.61,     27.00
WTZ3,     49.15,     12.88,     27.00
WTZA,     49.14,     12.88,     27.00
WTZR,     49.14,     12.88,     27.00
WTZS,     49.15,     12.88,     27.00
WTZZ,     49.14,     12.88,     27.00
WUH2,     30.53,    114.36,     28.00
WUHN,     30.53,    114.36,     28.00
WUTH,     77.00,     15.54,     33.00
XMIS,    -10.45,    105.69,     16.00
YAR2,    -29.05,    115.35,     16.00
YAR3,    -29.05,    115.35,     16.00
YARR,    -29.05,    115.35,     16.00
YEL2,     62.48,   -114.48,     31.00
YELL,     62.48,   -114.48,     31.00
YKRO,      6.87,     -5.24,     20.00
ZECK,     43.79,     41.56,     27.00
ZIM2,     46.88,      7.46,     27.00
ZIM3,     46.88,      7.46,     27.00
ZIMM,     46.88,      7.46,     27.00
