method,global_bias,global_RMSE,global_MAE,fortleza_N,fortleza_RMSE,fortleza_MAE,fortleza_RMSE_bc_global,fortleza_MAE_bc_global,fortleza_RMSE_bc_local,fortleza_MAE_bc_local,matera_N,matera_RMSE,matera_MAE,matera_RMSE_bc_global,matera_MAE_bc_global,matera_RMSE_bc_local,matera_MAE_bc_local,kokee_N,kokee_RMSE,kokee_MAE,kokee_RMSE_bc_global,kokee_MAE_bc_global,kokee_RMSE_bc_local,kokee_MAE_bc_local,onsala60_N,onsala60_RMSE,onsala60_MAE,onsala60_RMSE_bc_global,onsala60_MAE_bc_global,onsala60_RMSE_bc_local,onsala60_MAE_bc_local,wettzell_N,wettzell_RMSE,wettzell_MAE,wettzell_RMSE_bc_global,wettzell_MAE_bc_global,wettzell_RMSE_bc_local,wettzell_MAE_bc_local,ishioka_N,ishioka_RMSE,ishioka_MAE,ishioka_RMSE_bc_global,ishioka_MAE_bc_global,ishioka_RMSE_bc_local,ishioka_MAE_bc_local,hobart12_N,hobart12_RMSE,hobart12_MAE,hobart12_RMSE_bc_global,hobart12_MAE_bc_global,hobart12_RMSE_bc_local,hobart12_MAE_bc_local,westford_N,westford_RMSE,westford_MAE,westford_RMSE_bc_global,westford_MAE_bc_global,westford_RMSE_bc_local,westford_MAE_bc_local,wettz13s_N,wettz13s_RMSE,wettz13s_MAE,wettz13s_RMSE_bc_global,wettz13s_MAE_bc_global,wettz13s_RMSE_bc_local,wettz13s_MAE_bc_local,sejong_N,sejong_RMSE,sejong_MAE,sejong_RMSE_bc_global,sejong_MAE_bc_global,sejong_RMSE_bc_local,sejong_MAE_bc_local,hobart26_N,hobart26_RMSE,hobart26_MAE,hobart26_RMSE_bc_global,hobart26_MAE_bc_global,hobart26_RMSE_bc_local,hobart26_MAE_bc_local,raegyeb_N,raegyeb_RMSE,raegyeb_MAE,raegyeb_RMSE_bc_global,raegyeb_MAE_bc_global,raegyeb_RMSE_bc_local,raegyeb_MAE_bc_local,yebes40m_N,yebes40m_RMSE,yebes40m_MAE,yebes40m_RMSE_bc_global,yebes40m_MAE_bc_global,yebes40m_RMSE_bc_local,yebes40m_MAE_bc_local,onsa13ne_N,onsa13ne_RMSE,onsa13ne_MAE,onsa13ne_RMSE_bc_global,onsa13ne_MAE_bc_global,onsa13ne_RMSE_bc_local,onsa13ne_MAE_bc_local,onsa13sw_N,onsa13sw_RMSE,onsa13sw_MAE,onsa13sw_RMSE_bc_global,onsa13sw_MAE_bc_global,onsa13sw_RMSE_bc_local,onsa13sw_MAE_bc_local,wark12m_N,wark12m_RMSE,wark12m_MAE,wark12m_RMSE_bc_global,wark12m_MAE_bc_global,wark12m_RMSE_bc_local,wark12m_MAE_bc_local,raegsmar_N,raegsmar_RMSE,raegsmar_MAE,raegsmar_RMSE_bc_global,raegsmar_MAE_bc_global,raegsmar_RMSE_bc_local,raegsmar_MAE_bc_local,kokee12m_N,kokee12m_RMSE,kokee12m_MAE,kokee12m_RMSE_bc_global,kokee12m_MAE_bc_global,kokee12m_RMSE_bc_local,kokee12m_MAE_bc_local
Fusion_2023_095_SW1_LW1000,3.299125749853123,5.333571635384433,4.126079606735385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,2.275331188829879,1.891296814166834,1.8926464696501968,1.4078289240866513,1.264961809535914,1.242381756200011,,,,,,,,253.0,1.3797201420382843,1.280276179054326,2.0833324550754835,2.0188495591991598,0.5143156381952616,0.40287839706391604,13.0,2.0560502470721005,2.0370595886186815,1.2924944166053298,1.2620661496348038,0.27880253030044894,0.24106448924047705,48.0,2.275331188829879,1.891296814166834,1.8926464696501968,1.4078289240866513,1.264961809535914,1.242381756200011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNSS_2023_095_SW1_LW1,2.9223906205500967,5.156933658488121,3.929885872982644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,2.2242680971386863,1.7979072854841724,1.7338874608097914,1.293294424769853,1.3158611459131218,1.2727545794781203,,,,,,,,253.0,1.2818759253246332,1.1143430334894673,1.94861589937521,1.8297117649782044,0.6702676930885169,0.5689829443576028,13.0,2.1894566044032295,2.1893166276154514,0.7334919380939892,0.7330740048845343,0.024757354693634253,0.022234154876167218,48.0,2.2242680971386863,1.7979072854841724,1.7338874608097914,1.293294424769853,1.3158611459131218,1.2727545794781203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTEC_Fusion_2023_045_SW1_LW100,1.0534159298202448,6.310471486403349,4.234602823093159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,3.751089660886969,3.7280160660994137,2.706668744674046,2.6746001268372077,0.4154152800725696,0.302783294745983,474.0,2.455588763715599,1.8947387336351265,2.320412009380604,1.8095212608054019,2.309933145883915,1.790700759437612,476.0,2.859852997876375,2.553536958205314,1.9772987734954688,1.6702258406952881,1.2887859992118653,1.0059884606973895,,,,,,,,,,,,,,,254.0,1.7789928176072378,1.5448673225402452,2.0952231862989765,1.682081050433851,1.7781485126847068,1.5472530149632593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusion_2023_045_SW1_LW1000,1.7722207324237724,6.086342044294372,4.140780747326296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,3.717418767840863,3.697971524884962,1.962835958305674,1.9257507893240722,0.3797484649547209,0.27611292034638946,474.0,2.3757426917090507,1.8694957783813988,2.370330634805394,1.9074822457409017,2.201378256251883,1.7809918593968952,476.0,2.828545525942407,2.502953015638432,1.5314059300294145,1.2658766343005814,1.357146512380324,1.0796120002074971,,,,,,,,,,,,,,,254.0,1.9870618779361495,1.744967462000741,2.4946437439037505,2.1098665050037195,1.9719859849435557,1.7714869935902953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNSS_2023_045_SW1_LW1,1.1032888041242466,6.162561028730113,4.244954074016736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,3.9471126315227933,3.9029293135257648,2.860913818337872,2.7996405084239804,0.5889319990865645,0.5319932851330588,474.0,2.416025986763187,1.7959710402901539,2.214208474594497,1.6901091238777983,2.2104966600775695,1.6820372768531069,476.0,2.7308489008206855,2.4612509629129393,1.8035265059165628,1.5561622290535804,1.1914464047573252,0.9984778094668841,,,,,,,,,,,,,,,254.0,1.7142285119199403,1.4114535276149442,1.95114598639711,1.4961718228974095,1.706922522505189,1.3924477514599396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTEC_Fusion_2023_051_SW1_LW100,2.5945831983119967,5.225189367631354,4.1831803895851785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusion_2023_051_SW1_LW1000,3.4558828490503872,5.522562491244159,4.452000873367224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNSS_2023_051_SW1_LW1,2.790120203922578,5.13328105290176,4.093223360010663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTEC_Fusion_2023_247_SW1_LW100,2.0498206459121824,3.7398680751718727,2.9407081005586324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.0,2.059543229643701,1.8942928837401667,0.8231413421253005,0.7462421887201377,0.8083147811233994,0.7408544519931848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusion_2023_247_SW1_LW1000,2.1071339291188886,3.6538325792074082,2.8575014172562985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.0,2.1737953054673547,1.850803541852357,1.2222649013094196,1.028182105073711,1.1881455843464197,1.0391751880231332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
