station,method,correction,RMSE_allDOY,MAE_allDOY,count
kokee12m,Fusion LW,local-bias-corr,3.0535265353435737,2.1763440574315345,7522
kokee12m,Fusion LW,raw,5.179099773279075,3.758532305237969,7522
kokee12m,Fusion SW,glob-bias-corr,4.0407776997797695,2.9822081893113537,7522
kokee12m,Fusion SW,local-bias-corr,2.861957841313529,1.9861060888061686,7522
kokee12m,Fusion SW,raw,4.563517252096617,3.5302260037224142,7522
kokee12m,GNSS,glob-bias-corr,4.121753277401017,3.0602472746609943,7522
kokee12m,GNSS,local-bias-corr,2.781800515006629,2.0044655676681735,7522
kokee12m,GNSS,raw,4.66447570131949,3.589880350970487,7522
matera,DTEC LW,glob-bias-corr,3.1038054938873927,2.6073093368576536,12863
matera,DTEC LW,local-bias-corr,1.3903915789827015,1.0479973567596983,12863
matera,DTEC LW,raw,4.419995496393239,4.07484179429371,12863
matera,DTEC SW,glob-bias-corr,3.1953935482937035,2.681109383503071,12863
matera,DTEC SW,local-bias-corr,1.4175293472663986,1.062640130607168,12863
matera,DTEC SW,raw,4.437755840821383,4.079386612765297,12863
matera,Fusion LW,glob-bias-corr,2.726388963714866,2.2156021145922415,12863
matera,Fusion LW,local-bias-corr,1.378575399238138,1.0359107517686388,12863
matera,Fusion LW,raw,4.385617094638473,4.0275752157350535,12863
matera,Fusion SW,glob-bias-corr,3.066585714392234,2.55546140091736,12863
matera,Fusion SW,local-bias-corr,1.4307038545403865,1.0732068724247843,12863
matera,Fusion SW,raw,4.42343145146385,4.074093135349452,12863
matera,GNSS,glob-bias-corr,3.076418624140759,2.5512407680945346,12863
matera,GNSS,local-bias-corr,1.4298941631773021,1.0798639508668273,12863
matera,GNSS,raw,4.42757873950528,4.07449273108917,12863
onsa13ne,DTEC LW,glob-bias-corr,1.8832461724784668,1.4038748302678683,8101
onsa13ne,DTEC LW,local-bias-corr,1.4369462469857146,1.0733168744599433,8101
onsa13ne,DTEC LW,raw,2.2615631525236553,1.8629156894210592,8101
onsa13ne,DTEC SW,glob-bias-corr,1.848078141124386,1.4176323910628317,8101
onsa13ne,DTEC SW,local-bias-corr,1.4345768890206905,1.0655721515862238,8101
onsa13ne,DTEC SW,raw,2.2046693414932617,1.8112368843352675,8101
onsa13ne,Fusion LW,glob-bias-corr,1.8373711449663668,1.3847389211208494,8101
onsa13ne,Fusion LW,local-bias-corr,1.3974207420387792,1.0251722009628443,8101
onsa13ne,Fusion LW,raw,2.1828710812286958,1.8076780644364894,8101
onsa13ne,Fusion SW,glob-bias-corr,2.0031154201015506,1.4254906801629428,8101
onsa13ne,Fusion SW,local-bias-corr,1.4711695884669016,1.0634292062708308,8101
onsa13ne,Fusion SW,raw,2.287397211183091,1.8763485989384028,8101
onsa13ne,GNSS,glob-bias-corr,1.9576463104088038,1.4364535242562646,8101
onsa13ne,GNSS,local-bias-corr,1.470226376052306,1.0845043821750402,8101
onsa13ne,GNSS,raw,2.2737623116750414,1.8788248364399458,8101
onsa13sw,DTEC LW,glob-bias-corr,2.0030549232911627,1.4946999220576773,6415
onsa13sw,DTEC LW,local-bias-corr,1.5046894428962818,1.1229228371005457,6415
onsa13sw,DTEC LW,raw,2.2693952449638166,1.8476679657053778,6415
onsa13sw,DTEC SW,glob-bias-corr,1.949379264473078,1.4926827747466873,6415
onsa13sw,DTEC SW,local-bias-corr,1.5069416877221413,1.1184879189399846,6415
onsa13sw,DTEC SW,raw,2.194366286262453,1.7911005455962588,6415
onsa13sw,Fusion LW,glob-bias-corr,1.8980919984569746,1.4260452065471554,6415
onsa13sw,Fusion LW,local-bias-corr,1.4479288726539723,1.0577911145752144,6415
onsa13sw,Fusion LW,raw,2.148787901727276,1.7689508963367109,6415
onsa13sw,Fusion SW,glob-bias-corr,2.1382477766082006,1.5196102883865938,6415
onsa13sw,Fusion SW,local-bias-corr,1.5521124668975101,1.1248854247856586,6415
onsa13sw,Fusion SW,raw,2.301016156970126,1.860636009353079,6415
onsa13sw,GNSS,glob-bias-corr,2.0711106474806122,1.5173421667965705,6415
onsa13sw,GNSS,local-bias-corr,1.53596107198495,1.1334325798908809,6415
onsa13sw,GNSS,raw,2.264793446007543,1.8558659392049885,6415
onsala60,DTEC LW,glob-bias-corr,1.798727111210365,1.3816821416468994,14755
onsala60,DTEC LW,local-bias-corr,1.360297800133903,1.0124757709251102,14755
onsala60,DTEC LW,raw,2.3085581705554574,1.920013554727211,14755
onsala60,DTEC SW,glob-bias-corr,1.8286359453252063,1.4229291765503218,14755
onsala60,DTEC SW,local-bias-corr,1.374800761265135,1.0295791257200948,14755
onsala60,DTEC SW,raw,2.3204023842147734,1.9183043036258896,14755
onsala60,Fusion LW,glob-bias-corr,1.602024386477789,1.2527387326330057,14755
onsala60,Fusion LW,local-bias-corr,1.2870165247862424,0.96604879701796,14755
onsala60,Fusion LW,raw,2.2440544163751914,1.8833846153846154,14755
onsala60,Fusion SW,glob-bias-corr,1.7167126604421996,1.335205015249068,14755
onsala60,Fusion SW,local-bias-corr,1.352623781597907,1.009861064046086,14755
onsala60,Fusion SW,raw,2.284102797889135,1.8917973568281938,14755
onsala60,GNSS,glob-bias-corr,1.753238332136117,1.3684025753981701,14755
onsala60,GNSS,local-bias-corr,1.3750152680831864,1.0150931887495764,14755
onsala60,GNSS,raw,2.3297929176151775,1.9311528295493054,14755
raegsmar,DTEC LW,glob-bias-corr,3.275668205289143,2.5568181818181817,4290
raegsmar,DTEC LW,local-bias-corr,2.2611650925479934,1.5733613053613051,4290
raegsmar,DTEC LW,raw,3.7052861784666065,3.129412587412587,4290
raegsmar,DTEC SW,glob-bias-corr,3.4330601923622432,2.5659533799533802,4290
raegsmar,DTEC SW,local-bias-corr,2.682206064162366,1.6872657342657345,4290
raegsmar,DTEC SW,raw,3.7824845591964342,3.099207459207459,4290
raegsmar,Fusion LW,glob-bias-corr,2.5286195087530703,1.95113986013986,4290
raegsmar,Fusion LW,local-bias-corr,1.5635664733391146,1.210062937062937,4290
raegsmar,Fusion LW,raw,3.5595593052444636,3.037088578088578,4290
raegsmar,Fusion SW,glob-bias-corr,2.90407770545957,2.2683170163170163,4290
raegsmar,Fusion SW,local-bias-corr,1.7259086995437618,1.3484335664335663,4290
raegsmar,Fusion SW,raw,3.6701319279146314,3.1168648018648017,4290
raegsmar,GNSS,glob-bias-corr,2.9318241336380924,2.282874125874126,4290
raegsmar,GNSS,local-bias-corr,1.683740417900513,1.327834498834499,4290
raegsmar,GNSS,raw,3.6812992284415036,3.135662004662004,4290
raegyeb,DTEC LW,glob-bias-corr,2.6082196833600246,2.013333333333333,4800
raegyeb,DTEC LW,local-bias-corr,1.5394744300680454,1.08291875,4800
raegyeb,DTEC LW,raw,3.550544914164585,3.0079749999999996,4800
raegyeb,DTEC SW,glob-bias-corr,2.555320719433603,1.9659166666666665,4800
raegyeb,DTEC SW,local-bias-corr,1.493191108833695,1.0385541666666667,4800
raegyeb,DTEC SW,raw,3.50575205911656,2.98815,4800
raegyeb,Fusion LW,glob-bias-corr,2.1599574937947272,1.5920104166666667,4800
raegyeb,Fusion LW,local-bias-corr,1.5197738524201554,1.0378354166666666,4800
raegyeb,Fusion LW,raw,3.5061933507010137,2.992185416666666,4800
raegyeb,Fusion SW,glob-bias-corr,2.385765635318496,1.8116770833333335,4800
raegyeb,Fusion SW,local-bias-corr,1.5257441695229688,1.0709541666666667,4800
raegyeb,Fusion SW,raw,3.5189184151525876,2.9951979166666667,4800
raegyeb,GNSS,glob-bias-corr,2.4151808981592526,1.8564708333333335,4800
raegyeb,GNSS,local-bias-corr,1.5330512466972523,1.0731625,4800
raegyeb,GNSS,raw,3.5540018025459696,3.01649375,4800
sejong,DTEC LW,glob-bias-corr,3.004120426851045,2.3343492926075147,10673
sejong,DTEC LW,local-bias-corr,1.977783538247747,1.4424922702145602,10673
sejong,DTEC LW,raw,3.8134801572543053,3.1444429869764825,10673
sejong,DTEC SW,glob-bias-corr,3.031375328382065,2.355148505574815,10673
sejong,DTEC SW,local-bias-corr,1.989735434714696,1.4763712170898529,10673
sejong,DTEC SW,raw,3.8074955243687025,3.1203841469127704,10673
sejong,Fusion LW,glob-bias-corr,2.7288820144204435,2.1172407008338796,10673
sejong,Fusion LW,local-bias-corr,1.9255211421058747,1.408388456853743,10673
sejong,Fusion LW,raw,3.7726536152011696,3.1374974234048536,10673
sejong,Fusion SW,glob-bias-corr,3.0493683131968035,2.364696898716387,10673
sejong,Fusion SW,local-bias-corr,2.031833516176709,1.5101349198913143,10673
sejong,Fusion SW,raw,3.9097017266177447,3.202377026140729,10673
sejong,GNSS,glob-bias-corr,2.9707122899089846,2.288080202379837,10673
sejong,GNSS,local-bias-corr,1.9964193633914946,1.4652946687904058,10673
sejong,GNSS,raw,3.8202910485074186,3.127107654829944,10673
wark12m,DTEC LW,glob-bias-corr,3.4195649033615205,2.9460090566037733,13250
wark12m,DTEC LW,local-bias-corr,1.963572397058628,1.4717335849056605,13250
wark12m,DTEC LW,raw,4.41447234907579,3.9616362264150937,13250
wark12m,DTEC SW,glob-bias-corr,3.346121254386428,2.9058120754716983,13250
wark12m,DTEC SW,local-bias-corr,1.96212310117152,1.4830452830188678,13250
wark12m,DTEC SW,raw,4.291623857684764,3.8728233962264147,13250
wark12m,Fusion LW,glob-bias-corr,3.976420395564854,3.053341132075472,13250
wark12m,Fusion LW,local-bias-corr,2.7984012538159155,2.120982641509434,13250
wark12m,Fusion LW,raw,5.1296297847214944,4.214383396226415,13250
wark12m,Fusion SW,glob-bias-corr,3.6600053355977193,2.936904905660377,13250
wark12m,Fusion SW,local-bias-corr,2.5498770980371464,1.9248558490566037,13250
wark12m,Fusion SW,raw,4.608496830199871,3.8612716981132076,13250
wark12m,GNSS,glob-bias-corr,3.267490511311308,2.733241509433962,13250
wark12m,GNSS,local-bias-corr,1.878733334828609,1.4434037735849055,13250
wark12m,GNSS,raw,4.428167232784849,3.964215849056604,13250
westford,DTEC LW,glob-bias-corr,3.163804885441253,2.504430837181289,4981
westford,DTEC LW,local-bias-corr,1.4166512991675282,1.0125215820116442,4981
westford,DTEC LW,raw,4.294975040705251,3.9123971090142544,4981
westford,DTEC SW,glob-bias-corr,3.1493514658881168,2.503864685806063,4981
westford,DTEC SW,local-bias-corr,1.398898733695586,0.9688476209596466,4981
westford,DTEC SW,raw,4.259769837498283,3.8873479221039946,4981
westford,Fusion LW,glob-bias-corr,2.470783375339458,1.8734591447500504,4981
westford,Fusion LW,local-bias-corr,1.341965936895566,0.9368600682593856,4981
westford,Fusion LW,raw,4.094189896113843,3.71530214816302,4981
westford,Fusion SW,glob-bias-corr,2.9855331401438856,2.323471190523991,4981
westford,Fusion SW,local-bias-corr,1.4036370429722689,1.019098574583417,4981
westford,Fusion SW,raw,4.231936747733822,3.825398514354547,4981
westford,GNSS,glob-bias-corr,2.9339390884241987,2.275045171652279,4981
westford,GNSS,local-bias-corr,1.4026759709720065,1.0031981529813292,4981
westford,GNSS,raw,4.228593934788282,3.833734189921702,4981
wettz13s,DTEC LW,glob-bias-corr,2.111392423347201,1.664982683982684,2310
wettz13s,DTEC LW,local-bias-corr,1.516854471983878,1.0834978354978355,2310
wettz13s,DTEC LW,raw,2.825078422847425,2.2853290043290047,2310
wettz13s,DTEC SW,glob-bias-corr,2.089127958672141,1.6355454545454546,2310
wettz13s,DTEC SW,local-bias-corr,1.5043293079198672,1.0751991341991343,2310
wettz13s,DTEC SW,raw,2.7968029366880085,2.260705627705628,2310
wettz13s,Fusion LW,glob-bias-corr,1.838157144618405,1.4117445887445887,2310
wettz13s,Fusion LW,local-bias-corr,1.480624239477437,1.0492770562770561,2310
wettz13s,Fusion LW,raw,2.7180635454730333,2.213004329004329,2310
wettz13s,Fusion SW,glob-bias-corr,1.9584093952254618,1.5392857142857144,2310
wettz13s,Fusion SW,local-bias-corr,1.4967118939550437,1.081770562770563,2310
wettz13s,Fusion SW,raw,2.8018014999320786,2.27630303030303,2310
wettz13s,GNSS,glob-bias-corr,1.9526529738700722,1.5292034632034632,2310
wettz13s,GNSS,local-bias-corr,1.5024989141470242,1.0840562770562772,2310
wettz13s,GNSS,raw,2.8196681438705586,2.2834761904761907,2310
wettzell,DTEC LW,glob-bias-corr,2.2151537049119256,1.7099946861003568,13173
wettzell,DTEC LW,local-bias-corr,1.4006727136307702,1.040765201548622,13173
wettzell,DTEC LW,raw,3.076681565041845,2.5482600774311095,13173
wettzell,DTEC SW,glob-bias-corr,2.247424001738248,1.728948606999165,13173
wettzell,DTEC SW,local-bias-corr,1.3985754836389117,1.0425241023305247,13173
wettzell,DTEC SW,raw,3.0659020559016548,2.5364017308130262,13173
wettzell,Fusion LW,glob-bias-corr,1.9501644183594078,1.5114795414863738,13173
wettzell,Fusion LW,local-bias-corr,1.3771075771266859,1.0257784862977302,13173
wettzell,Fusion LW,raw,3.029629800763508,2.5146633265011764,13173
wettzell,Fusion SW,glob-bias-corr,2.1792939971398506,1.6752964396872394,13173
wettzell,Fusion SW,local-bias-corr,1.4062642898891857,1.0494966977909361,13173
wettzell,Fusion SW,raw,3.082165005640021,2.5508160631594925,13173
wettzell,GNSS,glob-bias-corr,2.1563698404817986,1.6497062172625827,13173
wettzell,GNSS,local-bias-corr,1.394696684977825,1.0381370986107947,13173
wettzell,GNSS,raw,3.087315745942519,2.5565102861914517,13173
yebes40m,DTEC LW,glob-bias-corr,1.9546568262154556,1.5415939849624058,665
yebes40m,DTEC LW,local-bias-corr,0.7621318536880708,0.6283609022556391,665
yebes40m,DTEC LW,raw,2.9902371721762577,2.6993082706766915,665
yebes40m,DTEC SW,glob-bias-corr,1.972087364045663,1.5538646616541352,665
yebes40m,DTEC SW,local-bias-corr,0.790465552363722,0.6406466165413534,665
yebes40m,DTEC SW,raw,2.923727227744688,2.624436090225564,665
yebes40m,Fusion LW,glob-bias-corr,1.8292515006503558,1.4734586466165414,665
yebes40m,Fusion LW,local-bias-corr,0.8325723342324818,0.6742406015037594,665
yebes40m,Fusion LW,raw,3.05349118568445,2.7158646616541353,665
yebes40m,Fusion SW,glob-bias-corr,1.980559198015072,1.5619398496240602,665
yebes40m,Fusion SW,local-bias-corr,0.8150014530177555,0.662721804511278,665
yebes40m,Fusion SW,raw,2.9644557248103576,2.6821052631578945,665
yebes40m,GNSS,glob-bias-corr,1.9730225657890441,1.5450827067669173,665
yebes40m,GNSS,local-bias-corr,0.7999700182351762,0.6341654135338345,665
yebes40m,GNSS,raw,2.9189645141019556,2.624781954887218,665
